Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Moritz Jenz,de GER,DF,Mainz 05,25-349,1999,18,17,1510,16.8,0,0,0,0,0,0,4,0,0.9,0.9,0.3,1.2,1,47,3,0.00,0.07,Matches
Carl Johansson,se SWE,DF,Holstein Kiel,30-326,1994,5,4,365,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,8,0,0.00,0.08,Matches
Anthony Jung,de GER,DF,Werder Bremen,33-162,1991,27,20,1892,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,20,121,6,0.00,0.00,Matches
Josip Juranović,hr CRO,"DF,MF",Union Berlin,29-241,1995,15,12,1071,11.9,0,1,1,0,0,0,4,0,0.3,0.3,1.8,2.1,19,45,41,0.08,0.17,Matches
Jonas Omlin,ch SUI,GK,Gladbach,31-094,1994,7,6,528,5.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Karim Onisiwo,at AUT,"MF,FW",Mainz 05,33-028,1992,6,1,110,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,0,8,0.00,0.33,Matches
Frank Onyeka,ng NGA,MF,Augsburg,27-103,1998,26,25,2168,24.1,0,1,1,0,0,0,7,0,1.4,1.4,1.1,2.5,36,81,61,0.04,0.10,Matches
Ivan Ordets,ua UKR,DF,Bochum,32-280,1992,20,19,1682,18.7,0,0,0,0,0,0,5,0,0.6,0.6,0.7,1.3,2,44,4,0.00,0.07,Matches
Assan Ouedraogo,de GER,MF,RB Leipzig,18-340,2006,3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,2,0.00,0.11,Matches
Salih Özcan,tr TUR,MF,Wolfsburg,27-093,1998,11,3,353,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,6,22,5,0.00,0.23,Matches
Salih Özcan,tr TUR,MF,Dortmund,27-093,1998,8,3,341,3.8,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.7,4,27,4,0.00,0.18,Matches
João Palhinha,pt POR,MF,Bayern Munich,29-279,1995,14,6,656,7.3,0,0,0,0,0,0,2,1,0.7,0.7,0.2,0.9,3,31,7,0.00,0.12,Matches
Mats Pannewig,de GER,MF,Bochum,20-168,2004,11,1,143,1.6,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,2,9,12,0.00,0.56,Matches
Nicolas Höfler,de GER,MF,Freiburg,35-036,1990,18,7,790,8.8,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,30,3,0.00,0.04,Matches
Lewis Holtby,de GER,MF,Holstein Kiel,34-208,1990,23,12,1181,13.1,0,1,1,0,0,0,1,1,0.5,0.5,1.5,2.0,13,45,32,0.08,0.16,Matches
Timo Horn,de GER,GK,Bochum,31-337,1993,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,35-141,1989,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Robin Hranáč,cz CZE,DF,Hoffenheim,25-075,2000,4,2,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,Matches
Hong Hyunseok,kr KOR,MF,Mainz 05,25-302,1999,19,4,474,5.3,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,7,18,27,0.19,0.26,Matches
Mads Pedersen,dk DEN,DF,Augsburg,28-225,1996,7,2,235,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,11,10,0.00,0.03,Matches
Jordan Pefok,us USA,FW,Union Berlin,28-353,1996,18,10,908,10.1,0,1,1,0,0,0,2,0,3.2,3.2,0.9,4.1,3,12,40,0.10,0.40,Matches
Daniel Peretz,il ISR,GK,Bayern Munich,24-278,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,Matches
Noah Pesch,hr CRO,FW,Gladbach,19-331,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,Matches
Luca Philipp,de GER,GK,Hoffenheim,24-137,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Maximilian Philipp,de GER,"MF,FW",Freiburg,31-044,1994,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.22,Matches
Amos Pieper,de GER,DF,Werder Bremen,27-087,1998,18,11,1056,11.7,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,6,43,1,0.00,0.07,Matches
Alexander Prass,at AUT,DF,Hoffenheim,23-323,2001,22,18,1521,16.9,0,1,1,0,0,0,1,0,0.9,0.9,2.8,3.6,28,63,65,0.06,0.22,Matches
David Preu,de GER,MF,Union Berlin,20-170,2004,1,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,Matches
Grischa Prömel,de GER,MF,Hoffenheim,30-095,1995,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,3,0.00,0.00,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,34-343,1990,27,27,2385,26.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Robert Gumny,pl POL,DF,Augsburg,26-314,1998,4,1,147,1.6,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.5,3,6,6,0.00,0.33,Matches
Janik Haberer,de GER,"MF,DF",Union Berlin,31-012,1994,23,16,1291,14.3,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,8,51,17,0.00,0.08,Matches
Amadou Haidara,ml MLI,MF,RB Leipzig,27-073,1998,25,15,1202,13.4,0,1,1,0,0,0,7,0,1.1,1.1,0.8,1.9,6,59,20,0.07,0.14,Matches
Ramon Hendriks,nl NED,DF,Stuttgart,23-270,2001,22,9,1044,11.6,0,1,1,0,0,0,2,0,0.6,0.6,1.0,1.6,8,33,22,0.09,0.14,Matches
Paul Hennrich,de GER,MF,Hoffenheim,20-039,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,Matches
Benjamin Henrichs,de GER,DF,RB Leipzig,28-050,1997,15,10,935,10.4,0,2,2,0,0,0,3,0,0.5,0.4,1.4,1.8,9,29,55,0.19,0.18,Matches
Mario Hermoso,es ESP,DF,Leverkusen,29-300,1995,4,3,293,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,2,20,3,0.00,0.17,Matches
Ivan Prtajin,hr CRO,FW,Union Berlin,28-335,1996,5,2,161,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.7,1,1,17,0.00,0.37,Matches
Tymoteusz Puchacz,pl POL,DF,Holstein Kiel,26-081,1999,10,5,396,4.4,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,13,8,30,0.23,0.16,Matches
Grant Ranos,am ARM,FW,Gladbach,21-268,2003,2,0,20,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,Matches
Nicolai Remberg,de GER,MF,Holstein Kiel,24-299,2000,28,22,2057,22.9,0,1,1,0,0,0,9,0,1.3,1.3,0.4,1.7,21,72,31,0.04,0.07,Matches
Mads Roerslev,dk DEN,DF,Wolfsburg,25-294,1999,5,2,253,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,12,17,0.00,0.02,Matches
Merlin Röhl,de GER,"MF,FW",Freiburg,22-283,2002,16,11,912,10.1,0,1,1,0,0,0,2,0,0.8,0.8,1.6,2.4,19,22,57,0.10,0.24,Matches
Max Rosenfelder,de GER,DF,Freiburg,22-063,2003,20,9,961,10.7,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,15,25,6,0.00,0.07,Matches
Benedikt Gimber,de GER,DF,Heidenheim,28-054,1997,27,27,2266,25.2,0,0,0,0,0,0,8,0,0.7,0.7,0.3,1.0,7,40,5,0.00,0.04,Matches
Tidiam Gomis,fr FRA,"MF,DF",RB Leipzig,18-249,2006,4,0,66,0.7,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,2,2,8,1.36,0.57,Matches
Robin Gosens,de GER,DF,Union Berlin,30-283,1994,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,4,5,0.00,0.15,Matches
Kamil Grabara,pl POL,GK,Wolfsburg,26-096,1999,24,24,2135,23.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,29-250,1995,8,8,601,6.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,4,44,4,0.00,0.05,Matches
Pascal Groß,de GER,"MF,DF",Dortmund,33-303,1991,27,25,2075,23.1,0,6,6,0,0,0,4,1,2.3,2.3,4.0,6.3,36,162,112,0.26,0.27,Matches
Jérôme Roussillon,fr FRA,"DF,MF",Union Berlin,32-098,1993,7,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,7,0.00,0.06,Matches
Frederik Rønnow,dk DEN,GK,Union Berlin,32-253,1992,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,Matches
Marcel Sabitzer,at AUT,"MF,FW",Dortmund,31-028,1994,23,17,1472,16.4,0,0,0,0,0,0,2,0,1.6,1.6,1.1,2.7,20,90,64,0.00,0.16,Matches
Faik Sakar,de GER,MF,RB Leipzig,17-090,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Roland Sallai,hu HUN,"FW,MF",Freiburg,27-327,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,3,2,0.00,0.41,Matches
Diadie Samassékou,ml MLI,MF,Hoffenheim,29-093,1996,8,6,290,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,11,2,0.00,0.02,Matches
James Sands,us USA,"MF,DF",St. Pauli,24-282,2000,7,5,453,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,16,6,0.00,0.01,Matches
Kaishu Sano,jp JPN,MF,Mainz 05,24-105,2000,29,29,2593,28.8,0,0,0,0,0,0,3,0,0.8,0.8,0.8,1.6,40,141,43,0.00,0.05,Matches
Kauã Santos,br BRA,GK,Eint Frankfurt,22-003,2003,9,8,765,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,Matches
Joe Scally,us USA,DF,Gladbach,22-104,2002,27,27,2260,25.1,0,0,0,0,0,0,5,0,0.4,0.4,1.0,1.4,46,60,56,0.00,0.06,Matches
Jonas Föhrenbach,de GER,DF,Heidenheim,29-078,1996,24,22,1815,20.2,0,1,1,0,0,0,3,0,0.3,0.3,1.3,1.5,36,59,49,0.05,0.08,Matches
Marco Friedl,at AUT,DF,Werder Bremen,27-029,1998,21,20,1711,19.0,0,0,0,0,0,0,8,2,0.2,0.2,0.2,0.5,4,57,0,0.00,0.02,Matches
Marvin Friedrich,de GER,DF,Gladbach,29-122,1995,21,9,968,10.8,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.1,11,35,3,0.09,0.10,Matches
Viggo Gebel,de GER,MF,RB Leipzig,17-143,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,Matches
Dennis Geiger,de GER,"MF,FW",Hoffenheim,26-308,1998,16,5,537,6.0,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,10,27,14,0.00,0.07,Matches
Stefan Schimmer,de GER,"FW,MF",Heidenheim,30-351,1994,13,0,247,2.7,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.3,0,3,15,0.00,0.48,Matches
Xaver Schlager,at AUT,MF,RB Leipzig,27-198,1997,4,2,181,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,5,6,2,0.00,0.38,Matches
Nico Schlotterbeck,de GER,DF,Dortmund,25-134,1999,23,23,1982,22.0,0,4,4,0,0,0,7,2,1.3,1.3,2.1,3.4,37,195,14,0.18,0.15,Matches
Marvin Schulz,de GER,"MF,DF",Holstein Kiel,30-089,1995,11,3,289,3.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,4,10,2,0.00,0.22,Matches
Alexander Schwolow,de GER,GK,Union Berlin,32-316,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Nicolas Seiwald,at AUT,"MF,DF",RB Leipzig,23-345,2001,25,15,1639,18.2,0,0,0,0,0,0,2,0,0.1,0.1,1.0,1.2,15,117,21,0.00,0.06,Matches
Tim Siersleben,de GER,DF,Heidenheim,25-036,2000,12,10,822,9.1,0,0,0,0,0,0,4,0,0.5,0.5,0.4,0.9,6,19,6,0.00,0.10,Matches
Niklas Dorsch,de GER,MF,Augsburg,27-089,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,Matches
Patrick Drewes,de GER,GK,Bochum,32-069,1993,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Tim Drexler,de GER,DF,Hoffenheim,20-039,2005,8,5,357,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,2,0.00,0.02,Matches
Julien Duranville,be BEL,"FW,MF",Dortmund,18-344,2006,10,2,262,2.9,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,7,32,0.00,0.14,Matches
Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-201,1995,14,2,314,3.5,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,1,12,4,0.00,0.11,Matches
Elif Elmas,mk MKD,MF,RB Leipzig,25-202,1999,2,0,44,0.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,2,2,0.00,0.70,Matches
Arne Engels,be BEL,"MF,FW",Augsburg,21-218,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.00,0.45,Matches
Yan Couto,br BRA,"DF,FW",Dortmund,22-315,2002,18,7,817,9.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,43,62,77,0.00,0.12,Matches
Finn Dahmen,de GER,GK,Augsburg,27-018,1998,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,Matches
Thomas Dähne,de GER,GK,Holstein Kiel,31-100,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Ameen Al-Dakhil,be BEL,DF,Stuttgart,23-039,2002,7,6,432,4.8,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.2,1,12,0,0.00,0.05,Matches
Olivier Deman,be BEL,DF,Werder Bremen,25-008,2000,9,0,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,1,0.00,0.15,Matches
Eric Dier,eng ENG,DF,Bayern Munich,31-089,1994,16,11,1018,11.3,0,1,1,0,0,0,0,0,0.8,0.8,0.1,0.8,9,54,1,0.09,0.07,Matches
Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,24-144,2000,7,3,293,3.3,0,1,1,0,0,0,0,0,0.9,0.9,0.9,1.8,5,3,27,0.31,0.56,Matches
Eren Dinkçi,de GER,"MF,FW",Freiburg,23-122,2001,23,13,1196,13.3,0,3,3,0,0,0,1,0,1.1,1.1,2.2,3.3,33,35,71,0.23,0.25,Matches
Mohamed Simakan,fr FRA,DF,RB Leipzig,24-346,2000,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,3,7,4,0.00,0.46,Matches
Tobias Sippel,de GER,GK,Gladbach,37-023,1988,1,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Tim Skarke,de GER,"FW,MF",Union Berlin,28-219,1996,28,10,1023,11.4,0,2,2,0,0,0,1,0,2.1,2.1,1.2,3.3,24,21,87,0.18,0.29,Matches
Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,29-339,1995,25,21,1811,20.1,0,2,2,0,0,0,6,0,0.8,0.8,1.2,2.0,14,90,25,0.10,0.10,Matches
Leo Skiri Østigård,no NOR,DF,Hoffenheim,25-137,1999,7,7,567,6.3,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.3,0,28,0,0.00,0.04,Matches
Tiago Cardoso,lu LUX,GK,Gladbach,19-007,2006,5,4,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-099,2004,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.00,0.03,Matches
El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19-333,2005,17,9,811,9.0,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.6,3,49,2,0.00,0.07,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,35-016,1990,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,Matches
Anrie Chase,jp JPN,DF,Stuttgart,21-021,2004,12,7,734,8.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,28,2,0.00,0.02,Matches
Arthur Chaves,br BRA,DF,Hoffenheim,24-075,2001,21,19,1735,19.3,0,0,0,0,0,0,7,0,0.5,0.5,0.1,0.6,7,48,12,0.00,0.03,Matches
Fabio Chiarodia,it ITA,DF,Gladbach,19-313,2005,13,0,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,Matches
Danny da Costa,de GER,DF,Mainz 05,31-275,1993,20,20,1621,18.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,16,90,18,0.06,0.03,Matches
Josip Stanišić,hr CRO,DF,Bayern Munich,25-012,2000,9,4,455,5.1,0,2,2,0,0,0,0,0,0.2,0.2,1.2,1.4,17,41,28,0.40,0.28,Matches
Niklas Stark,de GER,DF,Werder Bremen,30-000,1995,21,20,1656,18.4,0,1,1,0,0,0,4,1,0.5,0.5,0.1,0.6,6,50,3,0.05,0.03,Matches
Pascal Stenzel,de GER,DF,Stuttgart,29-025,1996,6,2,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,6,0.00,0.08,Matches
Finley Stevens,wls WAL,DF,St. Pauli,22-004,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Niklas Süle,de GER,DF,Dortmund,29-223,1995,10,7,643,7.1,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,6,35,6,0.00,0.07,Matches
Daniel Svensson,se SWE,"DF,FW",Dortmund,23-061,2002,7,3,331,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,5,19,15,0.00,0.06,Matches
Edmond Tapsoba,bf BFA,DF,Leverkusen,26-071,1999,24,24,2093,23.3,0,0,0,0,0,0,4,0,1.1,1.1,0.2,1.3,46,145,16,0.00,0.06,Matches
Mathys Tel,fr FRA,"FW,MF",Bayern Munich,19-352,2005,8,2,256,2.8,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,6,9,34,0.35,0.36,Matches
Tim Breithaupt,de GER,MF,Augsburg,23-066,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.75,0.33,Matches
Marnon Busch,de GER,"DF,MF",Heidenheim,30-127,1994,19,12,1136,12.6,0,1,1,0,0,0,0,0,0.4,0.4,1.1,1.5,19,53,40,0.08,0.12,Matches
Cole Campbell,us USA,"MF,FW",Dortmund,19-053,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,Matches
Arthur Theate,be BEL,DF,Eint Frankfurt,24-324,2000,26,26,2299,25.5,0,0,0,0,0,0,5,1,1.9,1.9,0.6,2.5,43,137,23,0.00,0.10,Matches
Norman Theuerkauf,de GER,MF,Heidenheim,38-080,1987,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.14,Matches
Denis Thomalla,de GER,MF,Heidenheim,32-241,1992,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Umut Tohumcu,de GER,"MF,FW",Hoffenheim,20-246,2004,10,3,346,3.8,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.3,2,13,5,0.26,0.08,Matches
John Tolkin,us USA,"DF,FW",Holstein Kiel,22-257,2002,6,4,358,4.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,6,10,7,0.25,0.10,Matches
Bazoumana Touré,ci CIV,"FW,DF",Hoffenheim,19-043,2006,8,3,278,3.1,0,3,3,0,0,0,1,0,0.8,0.8,1.7,2.5,14,8,28,0.97,0.82,Matches
Lucas Tousart,fr FRA,MF,Union Berlin,27-350,1997,13,6,530,5.9,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.8,4,18,13,0.17,0.14,Matches
Omar Traoré,de GER,"DF,FW",Heidenheim,27-069,1998,25,25,2174,24.2,0,1,1,0,0,0,6,0,0.4,0.4,1.5,1.9,87,101,100,0.04,0.08,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,34-280,1990,21,21,1845,20.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Philipp Treu,de GER,"MF,DF",St. Pauli,24-132,2000,28,28,2463,27.4,0,2,2,0,0,0,2,0,1.1,1.1,2.4,3.5,52,94,108,0.07,0.13,Matches
Christopher Trimmel,at AUT,"DF,MF",Union Berlin,38-049,1987,21,16,1397,15.5,0,1,1,0,0,0,5,0,0.2,0.2,1.4,1.6,14,61,35,0.06,0.10,Matches
Sven Ulreich,de GER,GK,Bayern Munich,36-254,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Stefan Bell,de GER,DF,Mainz 05,33-233,1991,15,13,1178,13.1,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,7,26,4,0.08,0.12,Matches
Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,20-056,2005,5,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,Matches
Mergim Berisha,de GER,FW,Augsburg,26-338,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,4,0.00,0.62,Matches
Bernardo,br BRA,DF,Bochum,29-335,1995,16,14,1332,14.8,0,0,0,0,0,0,5,0,0.7,0.7,0.7,1.4,13,75,10,0.00,0.09,Matches
Jan-Niklas Beste,de GER,"FW,MF",Freiburg,26-100,1999,9,0,160,1.8,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.3,4,6,18,0.56,0.70,Matches
Sacha Boey,fr FRA,DF,Bayern Munich,24-213,2000,9,5,419,4.7,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.0,16,28,51,0.21,0.22,Matches
Jonas Urbig,de GER,GK,Bayern Munich,21-249,2003,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,Matches
Maarten Vandevoordt,be BEL,GK,RB Leipzig,23-047,2002,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,Matches
Ruben Vargas,ch SUI,"MF,FW",Augsburg,26-252,1998,8,3,305,3.4,0,0,0,0,0,0,3,0,0.7,0.7,0.7,1.4,9,13,24,0.00,0.40,Matches
Nikola Vasilj,ba BIH,GK,St. Pauli,29-133,1995,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Miloš Veljković,rs SRB,DF,Werder Bremen,29-200,1995,14,11,1029,11.4,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.7,9,64,2,0.09,0.06,Matches
Nikolas Veratschnig,at AUT,"DF,MF",Mainz 05,22-080,2003,10,1,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,5,18,0.00,0.20,Matches
Arthur Vermeeren,be BEL,MF,RB Leipzig,20-066,2005,23,15,1306,14.5,0,2,2,0,0,0,5,0,0.2,0.2,0.7,0.9,9,58,15,0.14,0.06,Matches
Gabriel Vidovic,hr CRO,MF,Bayern Munich,21-134,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Gabriel Vidovic,hr CRO,MF,Mainz 05,21-134,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,1.17,Matches
Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,22-123,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,5,0.00,0.35,Matches
Samuel Bamba,de GER,"FW,DF",Bochum,21-060,2004,4,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,6,0.00,0.62,Matches
Noahkai Banks,us USA,DF,Augsburg,18-134,2006,8,2,278,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.00,0.02,Matches
Scott Banks,sct SCO,"FW,MF",St. Pauli,23-200,2001,11,0,101,1.1,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,1,8,0.00,0.25,Matches
Aymen Barkok,ma MAR,MF,Mainz 05,26-328,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.17,Matches
Maximilian Bauer,de GER,DF,Augsburg,25-064,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.00,0.04,Matches
Oliver Baumann,de GER,GK,Hoffenheim,34-316,1990,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,0,1,0,0.00,0.03,Matches
Timo Becker,de GER,DF,Holstein Kiel,28-020,1997,25,23,1998,22.2,0,2,2,0,0,0,2,0,1.2,1.2,0.8,2.1,26,48,35,0.09,0.09,Matches
Hannes Behrens,de GER,DF,Hoffenheim,,,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,Matches
Kevin Volland,de GER,"FW,MF",Union Berlin,32-258,1992,3,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,Matches
Aster Vranckx,be BEL,MF,Wolfsburg,22-192,2002,12,4,421,4.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,16,6,0.00,0.01,Matches
