Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,30-303,1994,18,2,313,3.5,1,0,1,1,0,0,1,0,2.2,2.2,0.5,2.7,2,10,22,0.29,0.78,Matches
Patrick Osterhage,de GER,MF,Freiburg,25-072,2000,26,23,1910,21.2,1,0,1,1,0,0,4,1,1.2,1.2,1.3,2.5,22,62,42,0.05,0.12,Matches
Erhan Mašović,rs SRB,DF,Bochum,26-143,1998,15,10,897,10.0,1,1,2,1,0,0,1,0,0.6,0.6,0.9,1.5,1,34,3,0.20,0.15,Matches
Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,23-094,2002,25,14,1239,13.8,1,5,6,1,0,0,2,0,2.5,2.5,4.7,7.3,42,46,118,0.44,0.53,Matches
Keke Maximilian Topp,de GER,"FW,MF",Werder Bremen,21-020,2004,16,1,242,2.7,1,2,3,1,0,0,1,0,0.8,0.8,2.0,2.8,9,7,25,1.12,1.03,Matches
Joshua Kimmich,de GER,MF,Bayern Munich,30-065,1995,28,27,2397,26.6,1,6,7,1,0,0,4,0,1.5,1.5,6.4,7.9,43,303,63,0.26,0.30,Matches
Chrislain Matsima,fr FRA,DF,Augsburg,22-334,2002,25,23,2101,23.3,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.5,11,70,9,0.04,0.06,Matches
Frans Krätzig,de GER,"DF,FW",Heidenheim,22-090,2003,12,11,861,9.6,1,2,3,1,0,0,0,0,0.5,0.5,1.1,1.6,18,23,42,0.31,0.17,Matches
Dominik Kohr,de GER,"DF,MF",Mainz 05,31-073,1994,25,25,2121,23.6,1,0,1,1,0,0,10,1,1.2,1.2,0.6,1.8,24,99,30,0.04,0.07,Matches
Atakan Karazor,,MF,Stuttgart,28-183,1996,27,26,2168,24.1,1,4,5,1,0,0,10,1,1.3,1.3,2.2,3.5,13,106,26,0.21,0.14,Matches
Andu Kelati,de GER,"MF,DF",Holstein Kiel,22-244,2002,8,2,288,3.2,1,1,2,1,0,0,2,1,0.9,0.9,0.8,1.7,3,19,11,0.62,0.53,Matches
Aljoscha Kemlein,de GER,MF,Union Berlin,20-255,2004,15,11,922,10.2,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.5,5,42,19,0.10,0.15,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,34-187,1990,24,16,1426,15.8,1,0,1,1,0,0,4,0,0.8,0.8,1.4,2.1,18,98,30,0.06,0.14,Matches
Koji Miyoshi,jp JPN,"FW,MF",Bochum,28-019,1997,14,6,450,5.0,1,0,1,1,0,0,0,1,1.1,1.1,0.8,1.9,11,14,23,0.20,0.38,Matches
Yusuf Kabadayı,de GER,"FW,MF",Augsburg,21-071,2004,5,0,71,0.8,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,2,3,8,1.27,0.89,Matches
Maximilian Mittelstädt,de GER,DF,Stuttgart,28-027,1997,26,23,2043,22.7,1,5,6,1,0,0,5,0,0.6,0.6,3.9,4.5,46,140,120,0.26,0.20,Matches
Jakov Medić,hr CRO,DF,Bochum,26-219,1998,19,14,1339,14.9,1,0,1,1,0,0,2,0,0.7,0.7,0.2,0.8,2,18,3,0.07,0.06,Matches
Rani Khedira,de GER,MF,Union Berlin,31-077,1994,27,26,2273,25.3,1,0,1,1,0,0,7,0,1.4,1.4,0.5,1.9,10,69,28,0.04,0.08,Matches
Nordi Mukiele,fr FRA,DF,Leverkusen,27-164,1997,15,10,899,10.0,1,0,1,1,0,0,4,0,1.4,1.4,1.0,2.4,20,36,28,0.10,0.24,Matches
Thomas Müller,de GER,"MF,FW",Bayern Munich,35-213,1989,25,9,987,11.0,1,4,5,1,0,0,3,0,3.2,3.2,2.7,5.9,19,46,116,0.46,0.54,Matches
Luca Kerber,de GER,"MF,DF",Heidenheim,23-035,2002,19,7,687,7.6,1,0,1,1,0,0,4,0,0.4,0.4,0.5,0.9,1,12,11,0.13,0.12,Matches
Igor Matanovic,hr CRO,FW,Eint Frankfurt,22-014,2003,16,2,312,3.5,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.2,2,6,19,0.29,0.34,Matches
Patrick Mainka,de GER,DF,Heidenheim,30-159,1994,29,29,2610,29.0,1,1,2,1,0,0,3,0,1.7,1.7,0.3,2.0,17,94,10,0.07,0.07,Matches
Marin Ljubicic,hr CRO,"FW,MF",Union Berlin,23-045,2002,8,1,197,2.2,1,1,2,1,0,0,1,0,0.4,0.4,0.6,1.0,1,4,12,0.91,0.47,Matches
Philipp Lienhart,at AUT,DF,Freiburg,28-277,1996,27,26,2320,25.8,1,0,1,1,0,0,4,0,0.5,0.5,0.7,1.2,39,119,9,0.04,0.05,Matches
Konrad Laimer,at AUT,DF,Bayern Munich,27-322,1997,24,14,1318,14.6,1,1,2,1,0,0,7,0,1.3,1.3,2.3,3.6,57,101,86,0.14,0.25,Matches
Stefan Lainer,at AUT,DF,Gladbach,32-230,1992,17,4,567,6.3,1,0,1,1,0,0,2,0,0.2,0.2,0.9,1.1,17,21,24,0.16,0.17,Matches
